,Unnamed: 0.1,Unnamed: 0,Classification,Disposition,datetime,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Longtitude,Latitude,Incidents
738,738,738,Fraud,Open Investigation,2019-06-27 10:17:00,2019,178,6,3,day_weekday,KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,DAMAGED PROPERTY
739,739,739,Trespassing, Closed,2018-11-26 22:38:00,2018,330,11,0,day_weekday,FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,DAMAGED PROPERTY
740,740,740,Theft: Criminal Mischief,Closed,2019-03-03 14:58:00,2019,62,3,6,weekend,ALICE LEE PLAZA,UCC,1.301676507,103.7722053,LOST AND FOUND
741,741,741,Lewdness,Arrest,2019-07-25 17:22:00,2019,206,7,3,day_weekday,4 PGP BUNGALOW,PGP,1.292756725,103.7793448,SEXUAL INCIDENTS
742,742,742,Trespassing,Open Investigation,2019-07-17 22:09:00,2019,198,7,2,day_weekday,"KENT VALE APARTMENT BLK B, 105",KV,1.301085285,103.7684438,DAMAGED PROPERTY
743,743,743,Intimidation,Closed,2019-01-08 05:33:00,2019,8,1,1,day_weekday,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,LOST AND FOUND
744,744,744,Terroristic Threats,Open Investigation,2019-06-14 11:57:00,2019,165,6,4,day_weekday,SPORE POWER GRID-CON SWITCH RM,CDE,1.300293893,103.7713884,LOST AND FOUND
745,745,745,Harassment,Judicial Referral,2019-01-02 18:54:00,2019,2,1,2,day_weekday,YALE WEST CORE,UTown,1.308169683,103.7723937,DAMAGED PROPERTY
746,746,746,Rape,Unfounded,2019-08-07 16:42:00,2019,219,8,2,day_weekday,12A KR BUNGALOW,KR,1.29723462,103.7747589,SEXUAL INCIDENTS
747,747,747,Assault,Arrest,2019-10-21 17:37:00,2019,294,10,0,day_weekday,PGP RESIDENCES (BLOCK 12),PGP,1.290852627,103.780192,DAMAGED PROPERTY
748,748,748,Extortion,Closed,2018-12-21 07:18:00,2018,355,12,4,day_weekday,14 PGP BUNGALOW,PGP,1.293234255,103.777491,LOST AND FOUND
749,749,749,Harassment: Bias Incident,Open Investigation,2018-12-30 22:32:00,2018,364,12,6,weekend,KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,LOST AND FOUND
750,750,750,Theft,Arrest,2019-06-26 08:38:00,2019,177,6,2,day_weekday,KE VII HALL (BLOCK E),PGP,1.29305545,103.7807199,LOST AND FOUND
751,751,751,Liquor Law Violation, Arrest,2019-04-30 11:03:00,2019,120,4,1,day_weekday,RIDGE VIEW RESIDENCE (BLOCK E),YIH,1.298622717,103.7762558,LOST AND FOUND
752,752,752,Theft,Open Investigation,2019-06-01 23:18:00,2019,152,6,5,weekend,TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,LOST AND FOUND
753,753,753,Assault,Open Investigation,2019-02-28 23:55:00,2019,59,2,3,day_weekday,LECTURE THEATRE 17,SOC,1.293649503,103.7739846,DAMAGED PROPERTY
754,754,754,Attempted Fraud,Closed,2019-07-13 21:13:00,2019,194,7,5,weekend,ENGINEERING BLOCK 1,CDE,1.298761566,103.7710794,LOST AND FOUND
755,755,755,Theft,Open Investigation,2018-12-10 04:08:00,2018,344,12,0,day_weekday,PGP RESIDENCES (BLOCK 19),PGP,1.290999159,103.7805255,LOST AND FOUND
756,756,756,Burglary,Arrest,2019-02-16 04:42:00,2019,47,2,5,weekend,SHAW FOUNDATION ALUMNI HOUSE,BIZ,1.293190699,103.7734347,LOST AND FOUND
757,757,757,Domestic Violence: Harassment,Arrest,2019-10-06 02:02:00,2019,279,10,6,weekend,ENGINEERING BLOCK 3,CDE,1.29943352,103.7717177,LOST AND FOUND
758,758,758,Trespass, Open Investigation,2019-11-26 04:11:00,2019,330,11,1,day_weekday,MEDICINE BLOCK 7,FOS,1.295550034,103.7817394,EMERGENCY INCIDENTS
759,759,759,Criminal Mischief,Open Investigation,2019-09-28 06:06:00,2019,271,9,5,weekend,4 PGP BUNGALOW,PGP,1.292756725,103.7793448,STOLEN ITEMS
760,760,760,Theft: Criminal Mischief,Arrest,2019-09-24 02:28:00,2019,267,9,1,day_weekday,BTC-CJ KOH LIBRARY,BTC,1.318788486,103.8181587,LOST AND FOUND
761,761,761,Theft,Open Investigation,2019-10-28 19:04:00,2019,301,10,0,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,LOST AND FOUND
762,762,762,Theft,Open Investigation,2019-02-15 21:32:00,2019,46,2,4,day_weekday,"KENT VALE APARTMENT BLK B, 105",KV,1.301085285,103.7684438,LOST AND FOUND
763,763,763,Attempted Trespass 2,Open Investigation,2019-07-16 14:04:00,2019,197,7,1,day_weekday,DESIGN & ENVIRONMENT BLOCK 2,CDE,1.297396959,103.7711486,LOST AND FOUND
764,764,764,Shoplifting,Closed,2018-11-27 19:00:00,2018,331,11,1,day_weekday,EUSOFF HALL (COMMUNAL HALL),HALL,1.293724685,103.7702582,STOLEN ITEMS
765,765,765,Aggravated Assault,Open Investigation,2019-02-28 04:24:00,2019,59,2,3,day_weekday,BTC-BIN CENTRE,BTC,1.319801578,103.8176313,LOST AND FOUND
766,766,766,Trespassing,Open Investigation,2019-01-31 10:24:00,2019,31,1,3,day_weekday,MD BLK 6 (CTR FOR TRANS  MED),FOS,1.295320036,103.7816808,DAMAGED PROPERTY
767,767,767,Rape,Open Investigation,2018-12-30 12:04:00,2018,364,12,6,weekend,7 PGP BUNGALOW,PGP,1.293238399,103.7780367,SEXUAL INCIDENTS
768,768,768,Shoplifting,Arrest,2019-10-15 19:53:00,2019,288,10,1,day_weekday,LECTURE THEATRE 28,FOS,1.297224305,103.7812648,STOLEN ITEMS
769,769,769,Criminal Mischief,Open Investigation,2019-05-04 17:32:00,2019,124,5,5,weekend,PGP RESIDENCES (BLOCK 28),PGP,1.290281658,103.7817217,STOLEN ITEMS
770,770,770,Theft,Open Investigation,2019-11-25 20:07:00,2019,329,11,0,day_weekday,CANTEEN 2 (THE DECK),FASS,1.294612936,103.7725509,LOST AND FOUND
771,771,771,Shoplifting,Arrest,2018-12-04 17:22:00,2018,338,12,1,day_weekday,TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,STOLEN ITEMS
772,772,772,Criminal Mischief,Open Investigation,2019-02-02 11:20:00,2019,33,2,5,weekend,3 KR BUNGALOW,KR,1.294139769,103.7801066,STOLEN ITEMS
773,773,773,Shoplifting , Open Investigation,2018-10-03 21:55:00,2018,276,10,2,day_weekday,STORE 1 (NEAR KEVII HALL),PGP,1.29274033,103.7812672,LOST AND FOUND
774,774,774,Lewdness,Closed,2018-12-28 07:34:00,2018,362,12,4,day_weekday,PGP RESIDENCES (BLOCK 4),PGP,1.291208032,103.7822304,SEXUAL INCIDENTS
775,775,775,Trespassing,,2018-10-29 08:09:00,2018,302,10,0,day_weekday,SEA-TO-SPACE (18KR BUNGALOW),KR,1.297559311,103.774216,DAMAGED PROPERTY
776,776,776,Trespassing,Open Investigation,2019-07-16 01:48:00,2019,197,7,1,day_weekday,LECTURE THEATRE 34,FOS,1.297758283,103.7810123,DAMAGED PROPERTY
777,777,777,Trespassing,Arrest,2019-11-23 09:22:00,2019,327,11,5,weekend,PGP RESIDENCES (BLOCK 29),PGP,1.290130186,103.7816738,DAMAGED PROPERTY
778,778,778,Trespass,Arrest,2018-11-01 09:47:00,2018,305,11,3,day_weekday,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,EMERGENCY INCIDENTS
779,779,779,Attempted Extortion,Arrest,2018-12-07 17:33:00,2018,341,12,4,day_weekday,CANTEEN 2 (THE DECK),FASS,1.294612936,103.7725509,LOST AND FOUND
780,780,780,Trespassing,Open Investigation,2019-02-24 17:16:00,2019,55,2,6,weekend,PGP RESIDENCES MPH,PGP,1.290916678,103.780617,DAMAGED PROPERTY
781,781,781,Harassment: Bias Incident,unfounded,2019-11-07 20:03:00,2019,311,11,3,day_weekday,TECH CTR FOR OFFSHORE & MARINE,PGP,1.293515294,103.7769167,LOST AND FOUND
782,782,782,Trespass,Judicial Referral,2019-07-05 12:21:00,2019,186,7,4,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 6,FASS,1.295434799,103.773244,EMERGENCY INCIDENTS
783,783,783,Theft,Open Investigation,2019-01-24 23:13:00,2019,24,1,3,day_weekday,PGP RESIDENCES (BLOCK 4),PGP,1.291208032,103.7822304,LOST AND FOUND
784,784,784,Harassment,Open Investigation,2019-06-05 04:21:00,2019,156,6,2,day_weekday,ENGINEERING BLOCK 6,CDE,1.299181543,103.7730982,DAMAGED PROPERTY
785,785,785,Obstruction of Justice,Open Investigation,2019-06-21 21:59:00,2019,172,6,4,day_weekday,LECTURE THEATRE 8,FASS,1.294142102,103.7718061,LOST AND FOUND
786,786,786,Domestic Violence: Harassment,Open Investigation,2019-07-25 18:04:00,2019,206,7,3,day_weekday,UNIVERSITY HALL,YIH,1.297236942,103.7779364,LOST AND FOUND
787,787,787,Shoplifting,Open Investigation,2018-12-03 10:24:00,2018,337,12,0,day_weekday,SHEARES HALL (BLOCK D),HALL,1.291192735,103.7752897,STOLEN ITEMS
788,788,788,Trespassing,Judicial Referral,2018-11-13 09:57:00,2018,317,11,1,day_weekday,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS,1.2959965,103.7832118,DAMAGED PROPERTY
789,789,789,Fraud,Unfounded,2019-03-14 19:22:00,2019,73,3,3,day_weekday,PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,DAMAGED PROPERTY
790,790,790,Theft,Open Investigation,2019-08-03 12:23:00,2019,215,8,5,weekend,"KENT VALE APARTMENT BLK B, 105",KV,1.301085285,103.7684438,LOST AND FOUND
791,791,791,Theft,Open Investigation,2019-11-08 23:23:00,2019,312,11,4,day_weekday,6 KR BUNGALOW,KR,1.294604043,103.7789697,LOST AND FOUND
792,792,792,Trespass,Open Investigation,2018-11-01 09:48:00,2018,305,11,3,day_weekday,PGP RESIDENCES (BLOCK 21),PGP,1.290472992,103.7804283,EMERGENCY INCIDENTS
793,793,793,Theft,Open Investigation,2019-04-06 22:41:00,2019,96,4,5,weekend,RAFFLES HALL (COMMUNAL HALL),YIH,1.300002869,103.7739354,LOST AND FOUND
794,794,794,False Public Alarm,Open Investigation,2018-11-25 15:45:00,2018,329,11,6,weekend,NUHS-MAIN BUILDING,FOS,1.294399964,103.7835039,LOST AND FOUND
795,795,795,Assault,Open Investigation,2018-12-03 04:33:00,2018,337,12,0,day_weekday,SHEARES HALL (BLOCK A),HALL,1.291577534,103.7754185,DAMAGED PROPERTY
796,796,796,Intimidation,Open Investigation,2018-12-31 04:40:00,2018,365,12,0,day_weekday,PGP RESIDENCES (BLOCK 16),PGP,1.291523732,103.7801396,LOST AND FOUND
797,797,797,Theft,Closed,2019-10-20 14:21:00,2019,293,10,6,weekend,STORE 1 (NEAR KEVII HALL),PGP,1.29274033,103.7812672,LOST AND FOUND
798,798,798,Harassment,Open Investigation,2019-07-07 10:05:00,2019,188,7,6,weekend,9 PGP BUNGALOW,PGP,1.293962325,103.7773228,DAMAGED PROPERTY
799,799,799,Assault,Open Investigation,2019-05-01 17:08:00,2019,121,5,2,day_weekday,MULTI-PURPOSE HALL 1 - 4,YIH,1.300600712,103.7757473,DAMAGED PROPERTY
800,800,800,Shoplifting,Open Investigation,2018-12-31 16:09:00,2018,365,12,0,day_weekday,SCIENCE BLOCK 4A,FOS,1.295813932,103.7788299,STOLEN ITEMS
801,801,801,Trespassing,unfounded,2019-05-03 21:18:00,2019,123,5,4,day_weekday,PGP RESIDENCES (BLOCK 2),PGP,1.291369071,103.7826626,DAMAGED PROPERTY
802,802,802,Theft,Arrest,2018-09-20 17:04:00,2018,263,9,3,day_weekday,KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,LOST AND FOUND
803,803,803,Shoplifting,Closed,2019-10-12 07:53:00,2019,285,10,5,weekend,UTOWN RESIDENCE-NORTH TOWER,UTown,1.305337891,103.7737981,STOLEN ITEMS
804,804,804,Shoplifting,Open Investigation,2019-03-22 19:01:00,2019,81,3,4,day_weekday,RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,STOLEN ITEMS
805,805,805,Trespass,Open Investigation,2018-12-09 12:53:00,2018,343,12,6,weekend,PGP RESIDENCES (BLOCK 30),PGP,1.290514448,103.781795,EMERGENCY INCIDENTS
806,806,806,Possession of Burglary Tools 2,Open Investigation,2019-04-26 23:31:00,2019,116,4,4,day_weekday,SCIENCE BLOCK 8,FOS,1.296070989,103.7793013,LOST AND FOUND
807,807,807,Harassment,Arrest,2019-02-14 02:54:00,2019,45,2,3,day_weekday,PGP RESIDENCES (BLOCK 7),PGP,1.291101134,103.7800076,DAMAGED PROPERTY
808,808,808,Assault,Open Investigation,2019-05-15 02:08:00,2019,135,5,2,day_weekday,COMMUNAL BLK B,KV,1.302552874,103.7685982,DAMAGED PROPERTY
809,809,809,Assault: Domestic Violence,Open Investigation,2018-12-21 06:27:00,2018,355,12,4,day_weekday,"KENT VALE APARTMENT BLK E, 109",KV,1.301741912,103.7678456,LOST AND FOUND
810,810,810,Theft: Bias Incident,,2019-10-14 19:06:00,2019,287,10,0,day_weekday,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,LOST AND FOUND
811,811,811,Theft,Open Investigation,2019-02-28 06:23:00,2019,59,2,3,day_weekday,PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,LOST AND FOUND
812,812,812,Trespass,Open Investigation,2019-05-10 08:55:00,2019,130,5,4,day_weekday,ARTS & SOCIAL SCIENCES BLOCK 8,FASS,1.294061185,103.7720122,EMERGENCY INCIDENTS
813,813,813,Theft: Criminal Mischief,Open Investigation,2019-07-25 14:44:00,2019,206,7,3,day_weekday,YSTCM CARPARK,UCC,1.302406233,103.7720861,LOST AND FOUND
814,814,814,Criminal Mischief,Open Investigation,2019-09-28 04:58:00,2019,271,9,5,weekend,INNOVATION 4.0,PGP,1.294254531,103.775948,STOLEN ITEMS
815,815,815,Theft: Bias Incident,Open Investigation,2019-07-18 08:20:00,2019,199,7,3,day_weekday,PGP RESIDENCES (BLOCK 24),PGP,1.290409214,103.7806802,LOST AND FOUND
816,816,816,Fraud,Open Investigation,2019-08-08 14:08:00,2019,220,8,3,day_weekday,ENGINEERING BLOCK 4A,CDE,1.29859899,103.7725782,DAMAGED PROPERTY
817,817,817,Harassment: Trespassing,Closed,2018-11-15 19:16:00,2018,319,11,3,day_weekday,DESIGN & ENVIRONMENT BLOCK 3,CDE,1.297825387,103.7705126,LOST AND FOUND
818,818,818,Shoplifting, Arrest,2019-05-04 06:02:00,2019,124,5,5,weekend,KE VII HALL (BLOCK C),PGP,1.2930985,103.7806927,STOLEN ITEMS
819,819,819,Lewdness,unfounded,2019-07-10 10:43:00,2019,191,7,2,day_weekday,ENGINEERING BLOCK 3,CDE,1.29943352,103.7717177,SEXUAL INCIDENTS
820,820,820,Possession of Burglary Tools 2,Open Investigation,2019-06-30 15:02:00,2019,181,6,6,weekend,YALE SCIENCE BLOCK,UTown,1.3060437,103.7720044,LOST AND FOUND
821,821,821,Theft,Open Investigation,2019-04-14 07:05:00,2019,104,4,6,weekend,DNMS CARPARK,DNMS,1.281499226,103.8334517,LOST AND FOUND
822,822,822,Lewdness,Open Investigation,2019-09-21 19:00:00,2019,264,9,5,weekend,"KENT VALE APARTMENT BLK I, 119",KV,1.302981916,103.7702236,SEXUAL INCIDENTS
823,823,823,Fraud,Open Investigation,2019-01-10 02:08:00,2019,10,1,3,day_weekday,STORE 1 (NEAR KEVII HALL),PGP,1.29274033,103.7812672,DAMAGED PROPERTY
824,824,824,Theft,Open Investigation,2019-01-19 03:07:00,2019,19,1,5,weekend,SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,LOST AND FOUND
825,825,825,Fraud,Open Investigation,2019-07-16 07:10:00,2019,197,7,1,day_weekday,CREATE (INNOVATION),UTown,1.303777538,103.7734082,DAMAGED PROPERTY
826,826,826,Trespassing,Open Investigation,2019-02-24 22:44:00,2019,55,2,6,weekend,CTR FOR THE ARTS,YIH,1.29917139,103.7737631,DAMAGED PROPERTY
827,827,827,Trespassing,Open Investigation,2019-05-28 09:30:00,2019,148,5,1,day_weekday,CINNAMON COLLEGE -MAIN BLK,UTown,1.306506139,103.7736295,DAMAGED PROPERTY
828,828,828,Shoplifting ,Open Investigation,2019-06-12 11:27:00,2019,163,6,2,day_weekday,TMSI-ST JOHN'S ISLAND,OTH,1.217102975,103.8501062,LOST AND FOUND
829,829,829,Harassment,Open Investigation,2018-10-15 06:27:00,2018,288,10,0,day_weekday,KUOK FOUNDATION HOUSE,YIH,1.300350998,103.7736453,DAMAGED PROPERTY
830,830,830,Harassment: Domestic Violence,Arrest,2019-06-09 21:23:00,2019,160,6,6,weekend,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,LOST AND FOUND
831,831,831,Burglary,Open Investigation,2018-10-31 10:07:00,2018,304,10,2,day_weekday,INSTITUTE OF SYSTEMS SCIENCE,HALL,1.292195263,103.7766918,LOST AND FOUND
832,832,832,Theft,Unfounded,2018-11-15 04:28:00,2018,319,11,3,day_weekday,1 KR BUNGALOW,KR,1.293041343,103.7811579,LOST AND FOUND
833,833,833,Trespassing,Open Investigation,2019-01-17 09:29:00,2019,17,1,3,day_weekday,KENT RIDGE HALL (BLOCK E),HALL,1.291836332,103.7742191,DAMAGED PROPERTY
834,834,834,Theft,Open Investigation,2018-12-25 03:08:00,2018,359,12,1,day_weekday,4 KR BUNGALOW,KR,1.294413343,103.7799701,LOST AND FOUND
835,835,835,Trespass,Judicial Referral,2019-03-16 00:19:00,2019,75,3,5,weekend,ELECTRICAL SUB-STATION,UTown,1.306222002,103.7727161,EMERGENCY INCIDENTS
836,836,836,Theft,Arrest,2019-02-09 17:27:00,2019,40,2,5,weekend,DINNING HALL (C&T COLLEGE),UTown,1.306389713,103.7736485,LOST AND FOUND
837,837,837,Trespassing,Open Investigation,2019-10-29 12:46:00,2019,302,10,1,day_weekday,BTC-LOUNGE,BTC,1.31861386,103.8170575,DAMAGED PROPERTY
838,838,838,Harassment,Open Investigation,2019-04-13 02:27:00,2019,103,4,5,weekend,KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,DAMAGED PROPERTY
839,839,839,Trespassing,Open Investigation,2019-09-10 07:14:00,2019,253,9,1,day_weekday,DINNING HALL (C&T COLLEGE),UTown,1.306389713,103.7736485,DAMAGED PROPERTY
840,840,840,False Public Alarm,Open Investigation,2019-07-02 03:26:00,2019,183,7,1,day_weekday,SHEARES HALL (BLOCK D),HALL,1.291192735,103.7752897,LOST AND FOUND
841,841,841,Theft: Bias Incident,Open Investigation,2019-09-27 17:02:00,2019,270,9,4,day_weekday,DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,LOST AND FOUND
842,842,842,Defiant Trespass: Aggravated Assault, Arrest,2018-11-23 02:51:00,2018,327,11,4,day_weekday,KE VII HALL (BLOCK G),PGP,1.293482761,103.7803849,LOST AND FOUND
843,843,843,Theft,Open Investigation,2019-09-25 23:55:00,2019,268,9,2,day_weekday,EXPERIMENTAL HOUSE,CDE,1.29903925,103.7718573,LOST AND FOUND
844,844,844,Theft,Open Investigation,2019-02-19 10:05:00,2019,50,2,1,day_weekday,T-LAB CARPARK,CDE,1.299936148,103.7722517,LOST AND FOUND
845,845,845,Intimidation,Unfounded,2019-03-08 17:58:00,2019,67,3,4,day_weekday,PGP RESIDENCES (BLOCK 1),PGP,1.291477493,103.7828939,LOST AND FOUND
846,846,846,False Public Alarm,Open Investigation,2019-03-03 01:30:00,2019,62,3,6,weekend,"KENT VALE APARTMENT BLK H, 117",KV,1.302198914,103.7700332,LOST AND FOUND
847,847,847,Extortion,Open Investigation,2018-12-11 20:09:00,2018,345,12,1,day_weekday,COLLEGE OF A&P TAN -TOWER,UTown,1.307597799,103.7731505,LOST AND FOUND
848,848,848,Assault,Open Investigation,2019-07-19 04:55:00,2019,200,7,4,day_weekday,KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,DAMAGED PROPERTY
849,849,849,Criminal Mischief,Open Investigation,2019-01-14 06:27:00,2019,14,1,0,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,STOLEN ITEMS
850,850,850,Shoplifting ,Arrest,2018-10-16 21:17:00,2018,289,10,1,day_weekday,DINNING HALL (C&T COLLEGE),UTown,1.306389713,103.7736485,LOST AND FOUND
851,851,851,Trespassing,Arrest,2018-11-04 21:44:00,2018,308,11,6,weekend,PGP RESIDENCES (BLOCK 5),PGP,1.291343839,103.7799128,DAMAGED PROPERTY
852,852,852,Theft,Open Investigation,2019-11-04 23:30:00,2019,308,11,0,day_weekday,SHEARES HALL (BLOCK D),HALL,1.291192735,103.7752897,LOST AND FOUND
853,853,853,Theft,Arrest,2019-09-25 01:11:00,2019,268,9,2,day_weekday,RIDGE VIEW RESIDENCE (BLOCK D),YIH,1.297921449,103.7758882,LOST AND FOUND
854,854,854,Rape,Arrest,2019-11-02 23:44:00,2019,306,11,5,weekend,RIDGE VIEW TOWER BLK (RVF),YIH,1.29791619,103.7768684,SEXUAL INCIDENTS
855,855,855,Attempted Theft,Closed,2019-03-19 08:38:00,2019,78,3,1,day_weekday,TEMBUSU COLLEGE- MPH,UTown,1.305898714,103.7738473,LOST AND FOUND
856,856,856,Trespass,Open Investigation,2019-10-15 08:29:00,2019,288,10,1,day_weekday,PGP RESIDENCES (BLOCK 29),PGP,1.290130186,103.7816738,EMERGENCY INCIDENTS
857,857,857,Bias Intimidation,Open Investigation,2019-08-26 04:36:00,2019,238,8,0,day_weekday,AS8 CARPARK,FASS,1.295895333,103.7720224,LOST AND FOUND
858,858,858,Harassment: Bias Incident,Open Investigation,2018-11-25 09:15:00,2018,329,11,6,weekend,COLLEGE OF A&P TAN -MPH,UTown,1.307802118,103.7732463,LOST AND FOUND
859,859,859,Shoplifting , Closed,2019-02-16 00:41:00,2019,47,2,5,weekend,MULTI-PURPOSE HALL 5 & 6,YIH,1.300997486,103.7757629,LOST AND FOUND
860,860,860,Theft,Open Investigation,2018-12-16 13:09:00,2018,350,12,6,weekend,PGP RESIDENCES (BLOCK 13),PGP,1.290867796,103.7802755,LOST AND FOUND
861,861,861,Trespassing,Open Investigation,2019-11-05 17:59:00,2019,309,11,1,day_weekday,YALE DINNING SERVICES,UTown,1.306325197,103.7717576,DAMAGED PROPERTY
862,862,862,Theft,Open Investigation,2019-06-01 14:02:00,2019,152,6,5,weekend,UNIVERSITY HEALTH CENTRE,YIH,1.299028198,103.776488,LOST AND FOUND
863,863,863,Lewdness,Open Investigation,2019-04-08 13:34:00,2019,98,4,0,day_weekday,COMMUNAL BLK B,KV,1.302552874,103.7685982,SEXUAL INCIDENTS
864,864,864,Theft,Open Investigation,2019-02-25 04:13:00,2019,56,2,0,day_weekday,BTC-MOOT COURT,BTC,1.318755191,103.8164184,LOST AND FOUND
865,865,865,Terroristic Threats,Arrest,2018-11-25 10:11:00,2018,329,11,6,weekend,11 KR BUNGALOW,KR,1.293319335,103.7736605,LOST AND FOUND
866,866,866,Rape,Judicial Referral,2018-11-28 07:41:00,2018,332,11,2,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,SEXUAL INCIDENTS
867,867,867,Trespassing,Closed,2019-09-17 10:08:00,2019,260,9,1,day_weekday,SHEARES HALL (BLOCK E),HALL,1.291117652,103.7758047,DAMAGED PROPERTY
868,868,868,Harassment,Open Investigation,2019-03-08 18:15:00,2019,67,3,4,day_weekday,BTC-CAFE,BTC,1.319623502,103.8174052,DAMAGED PROPERTY
869,869,869,Stalking,Judicial Referral,2018-11-19 20:46:00,2018,323,11,0,day_weekday,ENGINEERING BLOCK 3A,CDE,1.300324497,103.7714214,SEXUAL INCIDENTS
870,870,870,Harassment,Arrest,2019-02-06 23:00:00,2019,37,2,2,day_weekday,UNIVERSITY HALL,YIH,1.297236942,103.7779364,DAMAGED PROPERTY
871,871,871,Defiant Trespass, Closed,2019-06-07 20:18:00,2019,158,6,4,day_weekday,PGP RESIDENCES (BLOCK 20),PGP,1.290472992,103.7802401,LOST AND FOUND
872,872,872,Criminal Mischief,Open Investigation,2019-11-22 01:42:00,2019,326,11,4,day_weekday,14 KR BUNGALOW,KR,1.297439351,103.7744566,STOLEN ITEMS
873,873,873,Theft,Open Investigation,2019-11-23 15:10:00,2019,327,11,5,weekend,2 PGP BUNGALOW,PGP,1.292422999,103.7799725,LOST AND FOUND
874,874,874,Fraud,Open Investigation,2018-12-23 04:20:00,2018,357,12,6,weekend,MEDICINE BLOCK 4,FOS,1.295482387,103.7811936,DAMAGED PROPERTY
875,875,875,Theft,Open Investigation,2019-04-30 15:38:00,2019,120,4,1,day_weekday,INNOVATION 4.0,PGP,1.294254531,103.775948,LOST AND FOUND
876,876,876,Defiant Trespass: Aggravated Assault,Open Investigation,2019-01-30 19:18:00,2019,30,1,2,day_weekday,16 EVANS BUNGALOW,BTC,1.317643511,103.8196586,LOST AND FOUND
877,877,877,Defiant Trespass: Aggravated Assault,Arrest,2019-08-18 05:52:00,2019,230,8,6,weekend,SCIENCE BLOCK 1A (LEE WEE KENG),FOS,1.296422972,103.7792749,LOST AND FOUND
878,878,878,Theft,Open Investigation,2019-03-04 22:29:00,2019,63,3,0,day_weekday,MEDICINE BLOCK 7,FOS,1.295550034,103.7817394,LOST AND FOUND
879,879,879,Shoplifting,Arrest,2018-11-08 18:21:00,2018,312,11,3,day_weekday,EUSOFF HALL (BLOCK D),HALL,1.293493373,103.7697466,STOLEN ITEMS
880,880,880,Theft,Judicial Referral,2019-10-14 14:51:00,2019,287,10,0,day_weekday,EDUCATION RESOURCE CENTRE,UTown,1.305725982,103.7726716,LOST AND FOUND
881,881,881,Trespassing,Arrest,2019-02-25 17:15:00,2019,56,2,0,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,DAMAGED PROPERTY
882,882,882,Trespassing,Closed,2018-11-01 00:24:00,2018,305,11,3,day_weekday,KE VII HALL (BLOCK C),PGP,1.2930985,103.7806927,DAMAGED PROPERTY
883,883,883,Bias Intimidation,Unfounded,2018-12-14 21:44:00,2018,348,12,4,day_weekday,COLLEGE OF A&P TAN -TOWER,UTown,1.307597799,103.7731505,LOST AND FOUND
884,884,884,Shoplifting,Arrest,2019-10-20 00:49:00,2019,293,10,6,weekend,PGP RESIDENCES (BLOCK 23),PGP,1.290527203,103.7807137,STOLEN ITEMS
885,885,885,Trespassing,Open Investigation,2019-01-15 21:42:00,2019,15,1,1,day_weekday,8 PGP BUNGALOW,PGP,1.293596473,103.7775181,DAMAGED PROPERTY
886,886,886,Service of Warrant,Open Investigation,2018-12-28 18:54:00,2018,362,12,4,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,LOST AND FOUND
887,887,887,Trespassing,Open Investigation,2019-04-21 23:15:00,2019,111,4,6,weekend,RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,DAMAGED PROPERTY
888,888,888,Rape,Open Investigation,2019-10-28 00:39:00,2019,301,10,0,day_weekday,"KENT VALE APARTMENT BLK F, 107",KV,1.30219698,103.767326,SEXUAL INCIDENTS
889,889,889,Theft,Arrest,2018-11-29 23:13:00,2018,333,11,3,day_weekday,FOS - SHED B-NEXT TO S3&S4,FOS,1.29582005,103.7789548,LOST AND FOUND
890,890,890,Criminal Mischief,Open Investigation,2019-09-05 20:06:00,2019,248,9,3,day_weekday,RAFFLES HALL (BLOCK C),YIH,1.299882667,103.7729532,STOLEN ITEMS
