,Date,Time,Crime,Location,Building
300,01/08/2023,7:43,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK B, 105"
301,11/02/2022,10:35,LOST AND FOUND,PGP,KE VII HALL (BLOCK B)
302,06/01/2023,12:04,DAMAGED PROPERTY,HALL,EUSOFF HALL (COMMUNAL HALL)
303,10/03/2022,13:46,EMERGENCY INCIDENTS,PGP,INNOVATION 4.0
304,25/12/2022,11:53,LOST AND FOUND,CDE,ENGINEERING BLOCK 1
305,14/07/2022,15:51,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 6
306,07/03/2022,20:49,DAMAGED PROPERTY,FOS,LECTURE THEATRE 37
307,14/06/2023,1:59,STOLEN ITEMS,KV,COMMUNAL BLK B
308,07/01/2023,17:01,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 6
309,07/01/2023,18:26,DAMAGED PROPERTY,KR,6 KR BUNGALOW
310,25/05/2023,5:59,LOST AND FOUND,BTC,BTC-MANASSEH MEYER
311,15/03/2022,19:32,EMERGENCY INCIDENTS,UTown,RESIDENT COLLEGE 4
312,29/05/2022,0:26,DAMAGED PROPERTY,PGP,PGP RESIDENCES MPH
313,04/10/2023,9:36,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK G, 115"
314,19/03/2022,22:13,DAMAGED PROPERTY,UTown,CREATE (ENTERPRISE)
315,11/12/2022,5:49,EMERGENCY INCIDENTS,BTC,BTC-FEDERAL
316,10/05/2022,20:29,DAMAGED PROPERTY,UCC,LKC NATURAL HISTORY MUSEUM
317,29/09/2022,8:50,EMERGENCY INCIDENTS,YIH,UNIVERSITY HALL
318,23/08/2022,10:53,LOST AND FOUND,UCC,YSTCM CARPARK
319,08/04/2023,15:11,EMERGENCY INCIDENTS,CDE,ENGINEERING WORKSHOP 1A
320,21/08/2022,9:50,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 8)
321,14/12/2022,0:49,EMERGENCY INCIDENTS,UTown,DINING HALL (RC4 & CAPT)
322,24/06/2022,15:09,LOST AND FOUND,FASS,FASS BLK7 (SHAW FDN BLDG)
323,10/01/2022,5:42,DAMAGED PROPERTY,UTown,DINNING HALL (C&T COLLEGE)
324,09/01/2023,4:23,EMERGENCY INCIDENTS,BTC,BTC- MULTIPURPOSE AUDITORIUM
325,06/01/2022,13:23,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 1
326,29/03/2023,8:41,DAMAGED PROPERTY,HALL,SHEARS HALL/KENT RIDGE HALL SHARED SPACE
327,12/01/2023,1:51,EMERGENCY INCIDENTS,BTC,BTC-MANASSEH MEYER
328,26/03/2023,10:39,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 20)
329,30/09/2023,19:29,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 18)
330,10/04/2023,16:13,STOLEN ITEMS,DNMS,DUKE-NUS MEDSH-KHOOTECKPUAT BG
331,08/11/2022,19:48,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 26
332,26/04/2023,21:44,DAMAGED PROPERTY,CDE,T-LAB CARPARK
333,20/12/2022,21:26,EMERGENCY INCIDENTS,PGP,9 PGP BUNGALOW
334,04/06/2022,19:09,EMERGENCY INCIDENTS,FOS,MEDICINE BLOCK 9
335,23/05/2022,9:27,LOST AND FOUND,BTC,BTC-LECTURE THEATRE
336,20/12/2022,23:20,SEXUAL INCIDENTS,FOS,BRENNER CTR FOR MOLECULAR MED
337,12/05/2022,7:28,DAMAGED PROPERTY,CDE,INFORMATION TECHNOLOGY
338,10/09/2023,6:59,SEXUAL INCIDENTS,UTown,CREATE (INNOVATION)
339,20/02/2022,12:12,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 8
340,23/09/2023,8:19,DAMAGED PROPERTY,FOS,LECTURE THEATRE 29
341,08/09/2023,12:39,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK D)
342,30/06/2022,17:05,LOST AND FOUND,CDE,LECTURE THEATRE 3
343,05/07/2022,22:00,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK A,103"
344,24/07/2022,10:44,SEXUAL INCIDENTS,YIH,MULTI-PURPOSE HALL 5 & 6
345,23/06/2023,15:36,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 16)
346,15/08/2022,4:52,DAMAGED PROPERTY,CDE,LECTURE THEATRE 6
347,29/09/2023,14:24,DAMAGED PROPERTY,FASS,LECTURE THEATRE 13
348,05/01/2022,15:26,LOST AND FOUND,YIH,RIDGE VIEW RESIDENCE (BLOCK A)
349,27/04/2023,10:04,LOST AND FOUND,UCC,YST CONSERVATORY OF MUSIC
350,26/08/2023,14:32,LOST AND FOUND,SOC,LECTURE THEATRE 17
351,11/06/2023,14:19,EMERGENCY INCIDENTS,KR,1 KR BUNGALOW
352,06/05/2023,13:01,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK C, 111"
353,20/06/2023,0:40,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK D)
354,03/02/2023,0:19,LOST AND FOUND,PGP,PGP RESIDENCES MPH
355,09/07/2022,2:26,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK C)
356,03/04/2023,12:32,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 34
357,28/08/2022,4:55,STOLEN ITEMS,FOS,MEDICINE BLOCK 9
358,27/07/2023,19:21,STOLEN ITEMS,CDE,T-LAB CARPARK
359,22/02/2023,14:12,LOST AND FOUND,CDE,DESIGN & ENVIRONMENT BLOCK 3
360,14/01/2022,22:00,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK H, 117"
361,04/03/2022,0:48,DAMAGED PROPERTY,YIH,UNIVERSITY HEALTH CENTRE
362,17/11/2022,5:57,EMERGENCY INCIDENTS,KR,5 KR BUNGALOW
363,11/03/2022,11:33,DAMAGED PROPERTY,BTC,BTC-TOWER BLOCK
364,18/06/2023,17:08,DAMAGED PROPERTY,HALL,KENT RIDGE HALL (BLOCK A)
365,15/02/2022,2:22,EMERGENCY INCIDENTS,KR,12 KR BUNGALOW
366,23/11/2022,19:33,DAMAGED PROPERTY,HALL,HOUSE 5 ANNEX
367,26/06/2023,17:45,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 20)
368,01/03/2023,17:44,DAMAGED PROPERTY,KR,9 KR BUNGALOW
369,13/03/2023,16:51,EMERGENCY INCIDENTS,FOS,MEDICINE + SCIENCE LIBRARY
370,22/02/2023,23:33,SEXUAL INCIDENTS,UTown,UTOWN RESIDENCE SOUTH-TOWER
371,02/07/2023,17:41,EMERGENCY INCIDENTS,KV,COMMUNAL BLK B
372,21/06/2022,17:25,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (COMMUNAL HALL)
373,06/10/2022,5:01,EMERGENCY INCIDENTS,HALL,HOUSE 5 ANNEX
374,02/06/2022,1:55,DAMAGED PROPERTY,YIH,UNIVERSITY SPORT CENTRE
375,26/10/2022,1:52,STOLEN ITEMS,PGP,TEMASEK LIFE SCIENCE LAB
376,01/03/2022,17:04,STOLEN ITEMS,BIZ,HON SUI SEN MEMORIAL LIBRARY
377,12/05/2022,7:43,LOST AND FOUND,FOS,CTR FOR LIFE SCIENCES
378,28/04/2022,1:01,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 23)
379,24/05/2023,9:04,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 8
380,12/04/2023,3:52,EMERGENCY INCIDENTS,UTown,DISTRICT COOLING PLANT
381,14/07/2022,14:17,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 15
382,08/05/2023,2:28,SEXUAL INCIDENTS,PGP,PGP RESIDENCES MPH
383,09/07/2023,12:52,EMERGENCY INCIDENTS,HALL,SHEARES HALL (BLOCK B)
384,31/10/2022,4:40,LOST AND FOUND,FOS,LECTURE THEATRE 29
385,12/06/2022,4:04,EMERGENCY INCIDENTS,FOS,SUB-STATION 3 (NEAR S13)
386,25/07/2022,0:44,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 30)
387,04/05/2023,8:25,LOST AND FOUND,BIZ,BUSINESS BLOCK 2
388,02/03/2023,19:00,LOST AND FOUND,FOS,MD BLK 6 (CTR FOR TRANS  MED)
389,05/11/2022,2:53,LOST AND FOUND,PGP,CRISP (NEAR KEVII HALL)
390,10/07/2022,22:58,LOST AND FOUND,UCC,YSTCM CARPARK
391,17/02/2022,10:38,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK D)
392,31/07/2022,8:53,EMERGENCY INCIDENTS,BTC,18 EVANS BUNGALOW
393,15/04/2022,11:15,SEXUAL INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 1
394,20/10/2023,12:01,LOST AND FOUND,CDE,E6 CARPARK
395,24/09/2023,15:06,STOLEN ITEMS,UTown,RESIDENT COLLEGE 4
396,14/01/2023,13:24,EMERGENCY INCIDENTS,BTC,BTC-CJ KOH LIBRARY
397,14/02/2023,13:47,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 1
398,27/12/2022,2:09,DAMAGED PROPERTY,BTC,BTC-CJ KOH LIBRARY
399,12/10/2023,14:17,EMERGENCY INCIDENTS,SOC,COMPUTING BLOCK 3
400,11/08/2023,9:06,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 7)
401,26/09/2023,19:06,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK D)
402,27/01/2022,18:54,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
403,25/11/2022,23:18,LOST AND FOUND,UTown,CINNAMON COLLEGE -MPH
404,07/02/2023,0:11,LOST AND FOUND,CDE,ENGINEERING BLOCK 1A
405,06/10/2023,14:14,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 15)
406,23/09/2023,22:08,DAMAGED PROPERTY,PGP,9 PGP BUNGALOW
407,16/12/2022,8:23,EMERGENCY INCIDENTS,HALL,KENT VALE GUARDHOUSE
408,07/05/2022,20:13,DAMAGED PROPERTY,FOS,MEDICINE BLOCK 3
409,03/06/2022,2:22,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 26)
410,21/10/2022,1:59,STOLEN ITEMS,SOC,DATA-CENTRE-NUS HIGH SCHOOL
411,08/07/2022,10:30,EMERGENCY INCIDENTS,PGP,SUB-STATION 4 (NEAR KEVII)
412,20/01/2022,10:48,STOLEN ITEMS,FOS,SCIENCE BLOCK 6
413,24/09/2022,10:57,EMERGENCY INCIDENTS,SOC,COMPUTING BLOCK 2
414,05/08/2023,7:53,LOST AND FOUND,UTown,CREATE (INNOVATION)
415,13/11/2022,15:37,DAMAGED PROPERTY,SOC,LECTURE THEATRE 15
416,26/01/2023,12:09,LOST AND FOUND,CDE,EL SERVICE RESERVOIRS 1&2
417,28/08/2022,4:19,STOLEN ITEMS,CDE,ENGINEERING BLOCK 5
418,21/11/2022,9:14,LOST AND FOUND,FOS,DSO BUILDING
419,31/01/2023,5:44,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK C, 111"
420,18/08/2022,11:24,LOST AND FOUND,BTC,16 EVANS BUNGALOW
421,07/04/2023,11:44,EMERGENCY INCIDENTS,HALL,HOUSE 5
422,18/11/2022,7:35,DAMAGED PROPERTY,KV,COMMUNAL BLK B
423,11/05/2023,22:38,STOLEN ITEMS,FOS,CELS CARPARK
424,24/10/2022,23:51,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 9
425,20/02/2022,11:47,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK C)
426,21/10/2023,14:44,LOST AND FOUND,PGP,18A PGP BUNGALOW
427,22/09/2023,7:56,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK G)
428,12/03/2022,8:18,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 4
429,09/07/2023,11:36,LOST AND FOUND,FOS,SCIENCE BLOCK 3
430,31/01/2023,12:04,LOST AND FOUND,PGP,STORE 2 (NEAR KEVII HALL)
431,21/09/2022,11:27,LOST AND FOUND,SOC,I3
432,26/02/2022,11:43,DAMAGED PROPERTY,FASS,LECTURE THEATRE 10
433,10/06/2023,2:08,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK C)
434,13/03/2023,12:00,LOST AND FOUND,KR,3 KR BUNGALOW
435,21/07/2023,0:40,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 11)
436,26/04/2023,7:29,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 1
437,26/09/2023,20:22,DAMAGED PROPERTY,FOS,LECTURE THEATRE 35 (PETER AND MARY FU)
438,24/05/2023,20:45,SEXUAL INCIDENTS,FASS,LECTURE THEATRE 8
439,11/06/2022,23:30,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK D, 113"
440,07/05/2022,5:14,DAMAGED PROPERTY,PGP,18A PGP BUNGALOW
441,10/01/2023,21:37,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 12)
442,24/07/2022,4:51,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK B)
443,22/06/2023,20:30,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK E)
444,19/09/2022,11:57,LOST AND FOUND,HALL,VENTUS (UNI CAMPUS INFRA)
445,08/05/2022,0:07,DAMAGED PROPERTY,HALL,VENTUS (UNI CAMPUS INFRA)
446,29/12/2022,12:28,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK E)
447,12/07/2022,5:49,STOLEN ITEMS,PGP,CRISP (NEAR KEVII HALL)
448,18/02/2022,15:16,LOST AND FOUND,HALL,SHEARES HALL (BLOCK D)
449,14/09/2023,13:34,STOLEN ITEMS,FASS,CENTRAL STORAGE LIBRARY ANNEX
450,10/08/2023,18:11,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (EXTENSION TO BLOCK B &D)
451,27/02/2023,8:28,STOLEN ITEMS,FASS,LECTURE THEATRE 10
452,16/10/2023,20:18,LOST AND FOUND,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
453,17/08/2023,11:07,EMERGENCY INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 3
454,30/08/2023,8:55,SEXUAL INCIDENTS,FOS,LECTURE THEATRE 34
455,12/07/2023,10:52,EMERGENCY INCIDENTS,YIH,UNIVERSITY HEALTH CENTRE
456,27/03/2022,6:17,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 14
457,29/08/2022,8:53,DAMAGED PROPERTY,UTown,TEMBUSU LEARN LOBE
458,30/04/2022,11:01,EMERGENCY INCIDENTS,FASS,CANTEEN 2 (THE DECK)
459,10/10/2023,12:49,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK D, 113"
460,16/07/2023,15:33,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 12)
461,29/03/2022,6:43,EMERGENCY INCIDENTS,UTown,ELECTRICAL SUB-STATION
462,09/03/2022,20:05,LOST AND FOUND,PGP,18 PGP BUNGALOW
463,21/09/2022,18:28,LOST AND FOUND,KV,COMMUNAL BLK B
464,09/07/2023,13:28,DAMAGED PROPERTY,PGP,PGP RESIDENCES LECTURE THEATRE
465,16/08/2023,23:38,LOST AND FOUND,FOS,MEDICINE + SCIENCE LIBRARY
466,26/09/2023,4:15,LOST AND FOUND,FOS,MEDICINE BLOCK 3
467,11/07/2022,6:48,EMERGENCY INCIDENTS,BIZ,BUSINESS BLOCK 2
468,06/06/2022,17:29,STOLEN ITEMS,KV,"KENT VALE APARTMENT BLK C, 111"
469,09/02/2023,19:58,LOST AND FOUND,UTown,CREATE (UTOWN PLAZA)
470,07/06/2022,8:18,DAMAGED PROPERTY,UCC,DECOM SUB-STATION 1 (NEAR LKCNHM)
471,29/01/2022,1:30,LOST AND FOUND,SOC,LECTURE THEATRE 19
472,31/08/2022,18:22,DAMAGED PROPERTY,KR,2 KR BUNGALOW
473,30/06/2023,3:10,EMERGENCY INCIDENTS,HALL,EUSOFF HALL (BLOCK D)
474,03/04/2022,0:58,LOST AND FOUND,FASS,FASS BLK7 (SHAW FDN BLDG)
475,04/10/2023,13:46,LOST AND FOUND,YIH,RIDGE VIEW TOWER BLK (RVF)
476,17/09/2023,3:04,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 18)
477,09/03/2023,21:52,LOST AND FOUND,UTown,UTOWN RESIDENCE SOUTH-TOWER
478,31/08/2023,22:30,EMERGENCY INCIDENTS,UTown,CREATE (RESEARCH)
479,17/03/2023,19:48,LOST AND FOUND,FOS,SCIENCE BLOCK 9
480,14/05/2023,17:41,SEXUAL INCIDENTS,FOS,SCIENCE BLOCK 3
481,03/01/2022,7:55,DAMAGED PROPERTY,PGP,14A PGP BUNGALOW
482,08/07/2023,10:02,DAMAGED PROPERTY,COM,S'PORE SYNCHROTRON LIGHTSOURCE
483,04/02/2022,14:16,DAMAGED PROPERTY,UTown,CTR FOR THE ARTS
484,04/05/2023,19:30,DAMAGED PROPERTY,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
485,10/04/2022,22:30,EMERGENCY INCIDENTS,PGP,TECH CTR FOR OFFSHORE & MARINE
486,24/05/2022,10:12,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 2)
487,10/10/2023,17:03,EMERGENCY INCIDENTS,YIH,RIDGE VIEW RESIDENCE (BLOCK C)
488,03/03/2023,4:07,EMERGENCY INCIDENTS,FOS,MD11 CARPARK
489,21/02/2023,23:39,DAMAGED PROPERTY,FOS,CTR FOR LIFE SCIENCES
490,13/02/2023,18:33,DAMAGED PROPERTY,BTC,BTC-LI KA SHING BUILDING
491,03/02/2023,20:29,LOST AND FOUND,HALL,SHEARES HALL (BLOCK E)
492,11/08/2022,19:34,STOLEN ITEMS,FOS,SCIENCE BLOCK 17
493,08/09/2022,20:14,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK D)
494,01/03/2022,14:37,SEXUAL INCIDENTS,PGP,14 PGP BUNGALOW
495,21/03/2023,3:07,EMERGENCY INCIDENTS,UTown,YALE RESIDENTIAL COLLEGE 2
496,01/06/2023,17:19,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
497,17/02/2023,6:48,EMERGENCY INCIDENTS,UCC,NATIONAL SINGAPORE WIND TUNNEL
498,26/06/2023,20:40,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
499,13/01/2022,8:20,DAMAGED PROPERTY,PGP,INNOVATION 4.0
500,14/10/2022,11:16,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK I, 119"
501,29/07/2023,6:58,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK A)
502,15/05/2023,9:37,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 11)
503,23/08/2023,3:32,LOST AND FOUND,BTC,BTC-LECTURE THEATRE
504,08/09/2023,12:39,DAMAGED PROPERTY,PGP,TEMASEK LIFE SCIENCE LAB
505,30/08/2023,23:22,LOST AND FOUND,PGP,KE VII HALL (BLOCK F)
506,24/09/2022,8:46,DAMAGED PROPERTY,CDE,LECTURE THEATRE 7
507,03/06/2022,0:36,EMERGENCY INCIDENTS,YIH,YUSOF ISHAK HOUSE
508,20/07/2023,14:15,SEXUAL INCIDENTS,FASS,CENTRAL LIBRARY
509,19/09/2022,22:08,DAMAGED PROPERTY,FOS,BRENNER CTR FOR MOLECULAR MED
510,05/01/2023,11:29,DAMAGED PROPERTY,DNMS,DNMS CARPARK
511,07/09/2023,4:56,DAMAGED PROPERTY,YIH,MULTI-PURPOSE HALL 5 & 6
512,11/07/2023,0:17,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK D, 113"
513,23/05/2023,2:00,LOST AND FOUND,FOS,NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE
514,10/11/2022,18:12,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
515,06/08/2022,17:34,EMERGENCY INCIDENTS,UTown,YALE SCIENCE BLOCK
516,11/09/2022,6:06,EMERGENCY INCIDENTS,BIZ,BUSINESS BLOCK 1-MOCHTAR RIADY
517,07/07/2023,2:33,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK E, 109"
518,23/04/2023,17:45,EMERGENCY INCIDENTS,KV,COMMUNAL BLK B
519,04/01/2022,5:25,DAMAGED PROPERTY,PGP,PGPR CARPARK
520,30/03/2022,23:47,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 23)
521,20/08/2022,20:41,EMERGENCY INCIDENTS,FASS,CENTRAL STORAGE LIBRARY ANNEX
522,08/09/2023,11:05,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 28)
523,07/12/2022,1:21,DAMAGED PROPERTY,FOS,MD11 CARPARK
524,20/10/2023,10:02,LOST AND FOUND,CDE,ENGINEERING BLOCK 4A
525,25/09/2023,19:43,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 22)
526,23/11/2022,1:18,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
527,16/02/2023,4:18,DAMAGED PROPERTY,FOS,LECTURE THEATRE 28
528,20/05/2023,17:08,EMERGENCY INCIDENTS,PGP,KE VII HALL (BLOCK E)
529,05/09/2023,11:18,LOST AND FOUND,FASS,CENTRAL LIBRARY
530,08/01/2022,5:52,DAMAGED PROPERTY,SOC,LECTURE THEATRE 17
531,16/06/2023,13:45,LOST AND FOUND,PGP,4 PGP BUNGALOW
532,12/07/2023,4:43,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 29)
533,13/01/2022,18:28,DAMAGED PROPERTY,CDE,CANTEEN 1 (TECHNO EDGE)
534,07/03/2023,7:18,EMERGENCY INCIDENTS,UCC,YSTCM CARPARK
535,27/04/2022,21:53,EMERGENCY INCIDENTS,CDE,DESIGN & ENVIRONMENT BLOCK 4
536,22/06/2022,10:20,EMERGENCY INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 4
537,08/11/2022,15:52,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 15
538,06/06/2023,10:33,DAMAGED PROPERTY,YIH,RIDGE VIEW TOWER BLK (RVF)
539,08/08/2022,3:29,STOLEN ITEMS,YIH,UNIVERSITY HEALTH CENTRE
540,22/02/2022,8:05,EMERGENCY INCIDENTS,KV,COMMUNAL BLK B
541,15/05/2022,4:11,LOST AND FOUND,PGP,KE VII HALL (BLOCK E)
542,04/09/2022,0:26,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
543,14/10/2022,0:58,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK C, 111"
544,06/12/2022,22:39,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 5
545,04/03/2022,5:22,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 8
546,10/08/2022,6:48,LOST AND FOUND,BTC,18 EVANS BUNGALOW
547,16/07/2023,0:29,DAMAGED PROPERTY,FASS,AS8 CARPARK
548,17/08/2022,20:17,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 4
549,28/03/2023,20:03,LOST AND FOUND,YIH,UNIVERSITY HALL
550,01/11/2022,3:15,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 5
551,22/10/2022,17:40,EMERGENCY INCIDENTS,FOS,CANTEEN 4 (FRONTIER)
552,23/03/2022,21:40,LOST AND FOUND,BIZ,BIZ1 CARPARK
553,15/12/2022,12:56,DAMAGED PROPERTY,KR,12A KR BUNGALOW
554,04/10/2022,22:01,LOST AND FOUND,FOS,MEDICINE BLOCK 11
555,08/08/2023,23:54,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
556,14/08/2023,14:08,DAMAGED PROPERTY,HALL,KENT VALE GUARDHOUSE
557,14/01/2022,16:18,STOLEN ITEMS,UTown,COLLEGE OF A&P TAN -TOWER
558,28/11/2022,21:00,DAMAGED PROPERTY,FOS,LECTURE THEATRE 21
559,09/03/2022,9:31,DAMAGED PROPERTY,CDE,TLL CARPARK
560,22/09/2023,18:29,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK E)
561,21/08/2023,18:00,EMERGENCY INCIDENTS,UTown,TEMBUSU COLLEGE- MAIN BLK
562,15/07/2023,2:13,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 8
563,02/09/2022,0:22,DAMAGED PROPERTY,FOS,LECTURE THEATRE 26
564,29/03/2023,15:51,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 4
565,09/03/2023,22:50,DAMAGED PROPERTY,UTown,DINING HALL (RC4 & CAPT)
566,22/09/2023,8:13,LOST AND FOUND,SOC,COMPUTING BLOCK 3
567,06/10/2023,6:03,LOST AND FOUND,UTown,CREATE (RESEARCH)
568,10/03/2022,14:05,STOLEN ITEMS,BTC,BTC-LOUNGE
569,15/01/2022,5:02,EMERGENCY INCIDENTS,BTC,BTC-LECTURE THEATRE
570,30/04/2023,18:39,EMERGENCY INCIDENTS,UTown,SRC CARPARK
571,15/02/2022,20:46,LOST AND FOUND,UTown,CREATE (INNOVATION)
572,23/08/2022,1:49,SEXUAL INCIDENTS,CDE,ENGINEERING BLOCK 4
573,12/05/2022,3:22,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK A)
574,10/11/2022,18:09,LOST AND FOUND,FASS,TMSI-ST JOHN'S ISLAND
575,02/04/2023,20:34,LOST AND FOUND,UTown,CREATE (INNOVATION)
576,27/07/2022,4:22,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 13
577,06/10/2022,11:28,DAMAGED PROPERTY,PGP,PGP RESIDENCES RESTAURANT
578,15/05/2023,10:24,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES LECTURE THEATRE
579,03/11/2022,18:55,STOLEN ITEMS,FOS,SCIENCE BLOCK 15
580,26/12/2022,2:54,STOLEN ITEMS,KR,6 KR BUNGALOW
581,31/05/2023,5:06,DAMAGED PROPERTY,DNMS,DUKE-NUS MEDSH-KHOOTECKPUAT BG
582,13/12/2022,16:56,DAMAGED PROPERTY,BTC,BTC-LECTURE THEATRE
583,14/05/2023,23:06,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 4)
584,11/12/2022,19:44,DAMAGED PROPERTY,CDE,ENGINEERING WORKSHOP 1A
585,16/03/2023,0:12,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 14)
586,21/07/2023,14:34,STOLEN ITEMS,FOS,CELS CARPARK
587,28/09/2023,20:41,EMERGENCY INCIDENTS,UTown,UTOWN RESIDENCE SOUTH-TOWER
588,27/04/2023,0:58,LOST AND FOUND,FASS,CENTRAL LIBRARY
589,13/07/2023,7:29,DAMAGED PROPERTY,FASS,AS8 CARPARK
590,25/01/2023,16:20,DAMAGED PROPERTY,PGP,18 PGP BUNGALOW
591,31/01/2022,18:26,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 14)
592,29/08/2022,0:13,EMERGENCY INCIDENTS,YIH,KUOK FOUNDATION HOUSE
593,29/04/2022,3:45,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 8
594,04/02/2023,20:38,LOST AND FOUND,PGP,3 PGP BUNGALOW
595,03/05/2023,2:11,DAMAGED PROPERTY,UTown,CINNAMON LEARN LOBE
596,02/04/2022,16:18,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 4
597,06/08/2022,21:23,LOST AND FOUND,UTown,DINNING HALL (C&T COLLEGE)
598,09/08/2023,4:33,DAMAGED PROPERTY,HALL,TEMASEK HALL (BLOCK B)
599,29/07/2022,21:56,SEXUAL INCIDENTS,UTown,CREATE (INNOVATION)
